year,month_in_yr,open,high,low,close,no_of_rainy_days,total_rainfall,mean_sunshine_hrs,mean_temp
2012,7,2902.09,3040.11,2888.05,3036.4,17,130.8,6.2,27.7
2012,8,3026.54,3088.45,3004.76,3025.46,12,119.0,6.1,27.9
2012,9,3013.63,3088.35,2977.64,3060.34,10,107.6,5.6,27.9
2012,10,3054.57,3110.86,3021.92,3038.37,13,122.2,5.9,27.7
2012,11,3026.4,3083.26,2931.6,3069.95,22,208.2,4.4,27.1
2012,12,3086.49,3195.74,3052.23,3167.08,22,363.4,3.6,26.7
2013,1,3188.59,3290.9,3160.83,3282.66,15,262.0,6.0,27.1
2013,2,3286.65,3319.19,3250.87,3269.95,22,395.2,4.0,26.5
2013,3,3266.84,3321.62,3234.67,3308.1,10,85.8,7.5,28.3
2013,4,3313.37,3383.46,3264.08,3368.18,19,159.4,5.2,28.2
2013,5,3370.19,3464.79,3303.11,3311.37,17,211.4,5.4,28.2
2013,6,3287.1,3304.07,3065.42,3150.44,12,111.4,6.4,29.0
2013,7,3147.49,3277.55,3125.49,3221.93,15,174.6,5.7,27.8
2013,8,3244.23,3268.63,2990.68,3028.94,15,165.6,6.1,27.9
2013,9,3037.59,3260.14,3015.42,3167.87,19,257.0,4.6,27.5
2013,10,3180.72,3235.25,3122.38,3210.67,19,285.4,6.3,27.7
2013,11,3212.13,3218.55,3158.4,3176.35,22,292.4,4.5,27.1
2013,12,3177.87,3197.09,3025.41,3167.43,21,348.2,3.5,26.5
2014,1,3179.67,3187.8,3012.26,3027.22,5,75.4,5.3,26.2
2014,2,3011.41,3121.29,2953.01,3110.78,1,0.2,8.8,27.2
2014,3,3078.29,3194.2,3053.59,3188.62,6,66.0,8.0,27.9
2014,4,3202.18,3284.17,3181.89,3264.71,17,110.0,5.7,28.2
2014,5,3263.08,3308.43,3221.74,3295.85,18,125.8,5.8,28.6
2014,6,3302.4,3311.12,3246.72,3255.67,11,71.4,6.0,29.0
2014,7,3247.86,3387.84,3234.14,3374.06,15,148.6,5.5,28.7
2014,8,3348.55,3358.44,3278.21,3327.09,20,241.0,4.5,27.7
2014,9,3327.07,3356.71,3256.97,3276.74,9,83.6,7.0,28.5
2014,10,3267.96,3274.25,3149.91,3274.25,10,120.0,6.0,28.4
2014,11,3286.57,3360.32,3273.68,3350.5,23,250.8,5.4,27.5
2014,12,3352.32,3373.93,3200.63,3365.15,17,245.6,3.7,27.0
2015,1,3364.08,3432.62,3267.89,3391.2,6,79.6,7.4,26.9
2015,2,3398.51,3458.14,3394.54,3402.86,6,18.8,7.3,27.0
2015,3,3408.88,3469.02,3356.66,3447.01,5,84.4,7.3,28.2
2015,4,3439.76,3549.85,3435.59,3487.39,13,73.2,7.2,28.6
2015,5,3479.01,3490.74,3381.79,3392.11,12,89.0,5.8,28.7
2015,6,3375.05,3375.05,3267.68,3317.33,10,95.8,6.7,29.0
2015,7,3317.47,3383.56,3184.57,3202.5,13,116.8,7.1,29.1
2015,8,3205.59,3217.13,2808.31,2921.44,11,185.8,6.1,28.4
2015,9,2915.53,2931.65,2740.36,2790.89,8,61.6,4.3,28.7
2015,10,2795.4,3104.72,2765.44,2998.35,9,87.2,4.7,28.7
2015,11,2976.72,3043.85,2843.95,2855.94,13,72.6,4.8,28.0
2015,12,2862.79,2911.44,2793.39,2882.73,19,302.3,5.3,27.7
2016,1,2889.23,2890.21,2529.01,2629.11,15,126.6,7.2,28.3
2016,2,2637.05,2684.79,2528.44,2666.51,10,186.0,6.5,27.8
2016,3,2666.71,2906.8,2654.98,2840.9,6,6.2,8.0,29.0
2016,4,2829.83,2964.1,2783.73,2838.52,14,89.8,7.0,29.4
2016,5,2842.86,2848.9,2713.47,2791.06,12,193.8,6.2,29.3
2016,6,2787.99,2881.92,2703.48,2840.93,13,162.8,5.4,28.5
2016,7,2848.45,2958.9,2830.0,2868.69,20,168.6,6.3,28.4
2016,8,2875.59,2898.27,2810.88,2820.59,15,139.2,6.7,28.9
2016,9,2821.93,2911.84,2791.38,2869.47,15,118.9,5.5,28.3
2016,10,2879.85,2901.73,2783.33,2813.87,16,181.0,4.6,28.3
2016,11,2814.08,2915.42,2760.97,2905.17,20,290.2,3.5,27.4
2016,12,2913.65,2980.77,2857.91,2880.76,23,292.6,5.1,27.4
2017,1,2887.0,3065.13,2869.66,3046.8,21,197.6,4.8,26.9
2017,2,3045.94,3138.97,3030.65,3096.61,15,158.4,7.1,26.9
2017,3,3106.3,3188.02,3104.33,3175.11,11,136.2,6.1,27.4
